timestamp,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),reconstructed_temperature,is_reconstructed
2015-01-01 15:00:00,1005.7,5.25,277.95,2.33,81.4,8.88,7.23,1.65,4.48,7.19,1254.98,2.8,4.41,200.4,5.25,False
2015-01-01 15:10:00,1005.67,4.94,277.66,2.28,82.8,8.69,7.2,1.5,4.46,7.16,1256.32,2.34,3.44,212.5,4.94,False
2015-01-01 15:20:00,1005.67,4.65,277.37,2.16,83.8,8.52,7.14,1.38,4.43,7.1,1257.66,2.36,3.88,210.3,4.65,False
2015-01-01 15:30:00,1005.7,4.36,277.07,2.03,84.8,8.34,7.08,1.27,4.39,7.04,1259.08,2.36,3.0,216.3,4.36,False
2015-01-01 15:40:00,1005.71,4.25,276.96,1.96,85.0,8.28,7.04,1.24,4.37,7.0,1259.58,1.78,2.76,218.1,4.25,False
2015-01-01 15:50:00,1005.73,4.22,276.93,1.89,84.7,8.27,7.0,1.26,4.34,6.96,1259.76,1.05,1.6,200.8,4.22,False
2015-01-01 16:00:00,1005.93,4.0,276.69,1.7,84.9,8.14,6.91,1.23,4.28,6.87,1261.08,1.25,1.8,208.9,4.0,False
2015-01-01 16:10:00,1006.14,3.75,276.43,1.57,85.6,8.0,6.85,1.15,4.24,6.8,1262.48,1.42,2.72,234.6,3.75,False
2015-01-01 16:20:00,1006.23,3.47,276.14,1.35,85.9,7.84,6.73,1.11,4.17,6.69,1263.93,2.2,3.4,218.2,3.47,False
2015-01-01 16:30:00,1006.28,3.14,275.8,1.19,87.0,7.65,6.66,1.0,4.13,6.62,1265.57,2.88,4.37,213.8,3.14,False
2015-01-01 16:40:00,1006.26,2.93,275.6,1.09,87.6,7.54,6.61,0.94,4.1,6.57,1266.49,2.56,3.36,212.2,2.93,False
2015-01-01 16:50:00,1006.22,2.9,275.57,1.05,87.6,7.52,6.59,0.93,4.08,6.55,1266.62,2.44,3.28,219.6,2.9,False
2015-01-01 17:00:00,1006.23,2.91,275.58,1.07,87.6,7.53,6.6,0.93,4.09,6.56,1266.55,1.67,2.4,217.0,2.91,False
2015-01-01 17:10:00,1006.23,2.96,275.62,1.06,87.3,7.56,6.6,0.96,4.09,6.56,1266.37,1.43,3.0,234.7,2.96,False
2015-01-01 17:20:00,1006.27,2.84,275.5,0.96,87.4,7.49,6.55,0.94,4.06,6.51,1266.98,1.72,3.49,219.0,2.84,False
2015-01-01 17:30:00,1006.3,2.62,275.28,0.82,87.9,7.38,6.49,0.89,4.02,6.44,1268.05,1.5,2.44,216.0,2.62,False
2015-01-01 17:40:00,1006.18,2.49,275.16,0.83,88.8,7.31,6.49,0.82,4.02,6.45,1268.51,1.97,2.64,210.4,2.49,False
2015-01-01 17:50:00,1006.03,2.45,275.14,0.8,88.8,7.29,6.47,0.82,4.01,6.43,1268.48,2.23,2.68,220.7,2.45,False
2015-01-01 18:00:00,1005.89,2.41,275.11,0.76,88.8,7.27,6.45,0.81,4.0,6.42,1268.51,2.48,2.96,204.2,2.41,False
